id,title,has_not_been_viewed_much,date_start,date_end,medium_display,is_public_domain,has_multimedia_resources,has_educational_resources,has_advanced_imaging,colorfulness,is_on_view,artwork_type_title,department_title,artist_title
22223,"Death of Virgin, from Book of Hours",True,1400.0,1500.0,"Woodcut, with hand-coloring, in black on paper",True,False,False,False,,False,Print,Prints and Drawings,Philippe Pigouchet
22239,"Visitation, from the Book of Hours",True,1497.0,1524.0,Woodcut in black (or soft metal relief cut) with hand-coloring on parchment,True,False,False,False,,False,Print,Prints and Drawings,Thielmann Kerver
74737,Dish from the Swan Service,True,1738.0,1738.0,"Hard-paste porcelain, polychrome enamels, and gilding",True,False,False,False,7.848,False,Ceramics,Applied Arts of Europe,Meissen Porcelain Manufactory
71198,Casket Containing a Sugar Box and two Tea Caddies,True,1755.0,1765.0,"Glass, metal mounts, enameled copper",True,False,False,False,21.8619,False,Metalwork,Applied Arts of Europe,
156590,Paten (one of a group),True,1955.0,1960.0,Silver and gold plating,False,False,False,False,0.0,False,Decorative Arts,Arts of the Americas,Renard Koehnemann
68927,Letter Knife,True,1926.0,1945.0,"Silver, champlevé enamel, and moonstone",False,False,False,False,9.3761,False,Decorative Arts,Arts of the Americas,Mildred Watkins
71914,Teapot,True,1948.0,1948.0,"Silver, ivory, and rattan",False,True,False,False,15.9137,False,Decorative Arts,Arts of the Americas,John Prip
73035,Neckpiece #25,True,1974.0,1975.0,"Silver, gold, and Burmese jadeite",False,False,False,False,7.4577,False,Decorative Arts,Arts of the Americas,Mary Lee Hu
259405,One of Group of Three Snuff Containers,True,,,"Animal horn, metal, and leather",False,False,False,False,0.0,False,Decorative Arts,Arts of Africa,
258488,One of Group of Three Snuff Containers,True,,,"Gourd, beads, metal",False,False,False,False,0.0,False,Decorative Arts,Arts of Africa,
258486,Lidded Basket,True,,,Fiber,False,False,False,False,0.0,False,Basketry,Arts of Africa,Lozi
258487,Basketry Plate,True,,,Fiber,False,False,False,False,0.0,False,Basketry,Arts of Africa,Lozi
193089,Goldweight Depicting a Double Crocodile,False,1800.0,1950.0,Copper alloy,False,False,False,False,14.6823,False,Decorative Arts,Arts of Africa,Asante
183,Kantharos (Drinking Cup),False,-310.0,-280.0,"terracotta, unglazed ware, once partially gilded",True,False,False,False,17.8434,True,Vessel,Arts of the Ancient Mediterranean and Byzantium,Ancient Greek
259844,Whisper Like a Magnet,True,2020.0,2020.0,"Cotton and linen plain weave segments embroidered with cotton floss; aluminum wire, painted and covered with cotton floss; collaged with some segments glued; fully embroidered with cotton embroidery floss in loose variations of satin, split, chain and whip stitches",False,False,False,False,32.9314,False,Textile,Textiles,Sophia Narrett
262065,Ramos Polychrome vessel,True,1280.0,1450.0,Ceramic and pigment,True,False,False,False,0.0,False,Vessel,Arts of the Americas,Casas Grandes
262066,Ramos Polychrome vessel,True,1280.0,1450.0,Ceramic and pigment,True,False,False,False,0.0,False,Vessel,Arts of the Americas,Casas Grandes
9505,Two Studies of a Roma Woman and a Roma Boy in a Large Hat,False,1600.0,1610.0,Pen and black iron gall ink on tan laid paper,True,False,False,False,23.5686,False,Drawing and Watercolor,Prints and Drawings,"Jacob de Gheyn, II"
261522,Face Mask (possibly Tankagle),True,,,"Wood, pigment, fibers, and aluminum",False,False,False,False,0.0,False,Mask,Arts of Africa,
3752,The Madonna of the Rosary,False,1475.0,1485.0,Engraving on ivory laid paper,True,False,False,False,9.2077,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
40351,The Five Foxes,True,1485.0,1495.0,Engraving on ivory laid paper,True,False,False,False,8.9664,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
27009,Ornament with the Tree of Jesse,False,1480.0,1490.0,Engraving on paper,True,False,False,False,11.4538,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
3816,Ornamental Panel With Two Lovers,False,1480.0,1490.0,"Engraving printed in black, on ivory laid paper",True,False,False,False,12.2228,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
86265,St. Luke Portraying the Madonna,False,1490.0,1500.0,"Engraving printed in black, on ivory laid paper",True,False,False,False,17.1994,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
61073,"Jeanne Bécu, Comtesse Du Barry, and her servant Zamor",False,1771.0,1771.0,"Color aquatint, hand applied opaque white and embossing on laid paper",True,False,False,False,23.3705,False,Print,Prints and Drawings,Jean Baptiste André Gautier d'Agoty
53072,White Justice,True,1972.0,1972.0,Acrylic on canvas,False,False,False,False,,False,Painting,Contemporary Art,Peter Saul
13096,The Baptism of the Eunuch,False,1641.0,1641.0,Etching on buff laid paper,True,False,False,False,17.2621,False,Print,Prints and Drawings,Rembrandt van Rijn
81485,Combat of Two Wild Men on Horseback,False,1475.0,1485.0,Engraving on ivory laid paper,True,False,False,False,8.7305,False,Print,Prints and Drawings,"Israhel van Meckenem, the younger"
69012,Cup and Saucer,True,1810.0,1815.0,"Hard-paste porcelain, enamel and gilding",True,False,False,False,44.2467,False,Ceramics,Applied Arts of Europe,Pierre Louis Dagoty
265499,Self Portrait,True,1940.0,1949.0,Graphite on cream wove paper,False,False,False,False,,False,Drawing and Watercolor,Prints and Drawings,Roland Ginzel
260564,"George Washington, Front View, from Oeuvre de Canova",True,1817.0,1817.0,Engraving in black on ivory wove paper,True,False,False,False,,False,Print,Prints and Drawings,Antonio Canova
252545,Note to Self,True,2006.0,2006.0,Chromogenic print,False,False,False,False,24.1334,False,Photograph,Photography and Media,Yamini Nayar
186056,2424-B,True,1999.0,1999.0,"Chromogenic print, AP",False,False,False,False,29.0266,False,Photograph,Photography and Media,Todd Hido
212400,"Lillian Florsheim Residence, Chicago, IL, Kitchen Details",True,1949.0,1952.0,Graphite with offset lithography in black ink on translucent wove paper (tracing paper),False,False,False,False,13.2375,False,Architectural Drawing,Architecture and Design,Bertrand Goldberg
121218,"Siesta of a Lottery Seller, Plaza Mayor, Madrid",True,1956.0,1956.0,Gelatin silver print,False,False,False,False,0.0,False,Photograph,Photography and Media,Inge Morath
140434,"Historic Spanish Record of the Conquest, South Side of Inscription Rock, N.M.- No. 3., from the album ""Geographical & Geological Explorations & Surveys West of the 100th Meridian,"" vol. 1",True,1873.0,1873.0,Albumen print,True,False,False,False,17.1559,False,Photograph,Photography and Media,Timothy O'Sullivan
146920,Portrait (Ralph Müller),False,1986.0,1986.0,Chromogenic print,False,False,False,False,40.6419,False,Photograph,Photography and Media,Thomas Ruff
193356,Museum Highlights: A Gallery Talk,False,1989.0,1989.0,"Single-channel video, color, sound; 29 min.",False,False,False,False,38.1986,False,"Film, Video, New Media",Contemporary Art,Andrea Fraser
210876,"Weimar Lux CDS, VEB Feingerätewerk Weimar, Preis 86,50 Mark GDR, Filmempfindlichkeitsbereich 9 bis 45 DIN und 6 bis 25000 ASA, Blendenskala 0,5 bis 45, Zeitskala 1/4000 Sekunde bis 8 Stunden, ca. 1980, Models: Ellena Borho and Cristoph Boland, November 12th, 2010",False,2010.0,2010.0,Inkjet print,False,False,False,False,0.0,False,Photograph,Photography and Media,Christopher Williams
216717,Stranger (9),False,1999.0,1999.0,Chromogenic print,False,False,False,False,17.7519,False,Photograph,Photography and Media,Shizuka Yokomizo
228613,London Olympics,True,2012.0,2012.0,Inkjet print,False,False,False,False,19.4512,False,Photograph,Photography and Media,Wolfgang Tillmans
230085,"Surrey County Lunatic Asylum, The Same Patient in 4 Different States: Melancholy, Excited, Convalescent, Well Untitled, 1849–60, from the George Cowper Album, assembled 1849–60",True,1848.0,1858.0,Albumen prints,True,False,False,False,35.1402,False,Photograph,Photography and Media,Hugh Welch Diamond
120003,"A Funeral Procession in Jinotepe for Assassinated Student Leaders. Demonstrators Carry a Photograph of Arlen Siu, an FSLN Guerilla Fighter Killed in the Mountains Three Years Earlier",True,1978.0,1978.0,Silver dye-bleach print,False,False,False,False,0.0,False,Photograph,Photography and Media,Susan Meiselas
199171,Worker Men and Women: Everyone Vote in the Soviet Elections (Raboche i rabotnitsy: vse na perevybory sovetov),False,1930.0,1930.0,"Color offset lithograph on cream wove paper, pieced and laid down on white wove paper",False,False,False,False,90.0412,False,Print,Prints and Drawings,Gustav G. Klutsis
199779,Did She Risk Her Life for Governments that Enslave Women?,False,1990.0,1994.0,Offset lithograph in black on white wove paper,False,False,False,False,0.0,False,Print,Prints and Drawings,Guerrilla Girls
230063,Untitled (Family Album),True,,,"Spiral bound magnetic album, 114 gelatin silver prints and 29 chromogenic prints",False,False,False,False,0.0,False,Photograph,Photography and Media,Unknown Maker
66261,The Net Mender,False,1894.0,1894.0,Carbon print,True,False,False,False,18.6818,False,Photograph,Photography and Media,Alfred Stieglitz
184990,Jill and Polly in the Bathroom,False,1987.0,1987.0,Chromogenic print,False,False,False,False,34.8206,False,Photograph,Photography and Media,Tina Barney
64099,The Dance,True,1900.0,1900.0,Carbon print,False,False,False,False,27.3679,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
62362,Untitled,True,1895.0,1905.0,Platinum print,False,False,False,False,13.5966,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
103516,"Vesper Bells, No. 6 from the portfolio ""American Pictorial Photography, Series I"" (1899); edition 146/150",True,1897.0,1897.0,Photogravure,True,False,False,False,13.6573,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
94304,Untitled,True,1910.0,1930.0,Platinum print,False,False,False,False,12.5699,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
103536,"The Ranchman, No. 8 from the portfolio ""American Pictorial Photography, Series II” (1901)",True,1894.0,1904.0,Photogravure,False,False,False,False,18.4056,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
103535,"The Dance, No. 7 from the portfolio ""American Pictorial Photography, Series II” (1901); edition 34/150",True,1899.0,1899.0,Photogravure,True,False,False,False,29.7637,False,Photograph,Photography and Media,"Rudolf Eickemeyer, Jr."
209972,Ochún,False,1981.0,1981.0,"8mm film transferred to digital video disc; color, sound; 8 min. 17 sec,; edition 3 of 6, plus 3 artist's proofs",False,False,False,False,9.5569,False,"Film, Video, New Media",Contemporary Art,Ana Mendieta
194544,Amazon,False,2005.0,2005.0,"16mm color film, silent; 1:34 min. loop
Edition number five of five",False,False,False,False,9.0967,False,"Film, Video, New Media",Contemporary Art,AK Dolven
